model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0 1.00 125 3 636253.60 -38.92 -20.56 12.55 0.68 0.52 45.77 63378.17 66165800.11 0.0000002054 7.91 2146033257430421348548608.00
P0 1.00 126 5 1060801.40 -34.13 -12.63 11.71 0.58 0.42 38.23 16677.69 32524025.68 0.0000707680 11.28 365527923876067553574912.00
P0 1.00 127 5 1000029.73 -35.35 -12.80 18.77 0.64 0.33 42.02 20809.53 29715088.50 0.0000180754 8.95 565509970622917543723008.00
P0 1.00 128 3 535532.50 -43.37 -11.19 17.84 0.57 0.36 48.22 37955.88 47988081.78 0.0000055717 8.64 1114663940944290551693312.00
P0 1.00 129 12 2319895.57 -9.85 -13.38 12.97 1.25 0.56 21.07 12502.40 51785520.55 0.0016963260 19.33 164658220481369027379200.00
P0 1.00 130 7 1360568.28 -6.62 -13.08 11.15 0.96 0.64 18.42 13153.47 50214302.91 0.0010381782 19.21 175787576307322317701120.00
P0 1.00 131 8 1335299.20 -7.27 -11.92 12.85 0.60 0.42 18.97 12261.51 50850992.44 0.0014521330 22.09 151936161992665880068096.00
P0 1.00 132 2 224320.81 -17.87 -11.07 14.35 0.19 0.18 25.45 46760.72 37671387.73 0.0000008515 6.28 1832299583701204768653312.00
P0 1.00 133 4 840131.28 -8.37 -10.71 9.66 0.82 0.60 16.67 13872.69 54503095.32 0.0008892869 17.49 179901059384894491197440.00
P0 1.00 134 3 697603.70 -8.26 -9.57 11.45 0.56 0.37 17.06 14114.99 41464260.25 0.0002979704 14.33 226978124051269436833792.00
P0 1.00 135 5 1063436.38 -29.78 -4.06 11.78 0.83 0.60 32.28 22492.02 36234694.39 0.0000310246 20.97 566903376949726941282304.00
P0 1.00 136 5 876507.00 -5.74 -11.55 10.53 1.05 0.69 16.65 43056.84 158443254.11 0.0006960852 17.07 610843726328450468806656.00
P0 1.00 137 3 534157.30 -9.77 -13.19 9.69 0.64 0.46 19.06 17801.18 35015629.72 0.0000760992 23.85 375489749868186985037824.00
P0 1.00 138 9 1644127.53 -15.40 -12.46 9.20 1.13 0.50 21.84 14719.04 45986516.66 0.0003538338 24.90 232899714179834058899456.00
P0 1.00 139 6 1133354.14 -9.08 -14.60 26.35 0.36 0.29 31.46 17520.60 24419430.93 0.0000213613 5.56 477265650540282145406976.00
P0 1.00 140 4 649937.24 -8.82 -17.69 12.89 0.81 0.48 23.59 16604.53 31452697.84 0.0000769780 12.80 362563604880353614888960.00
P0 1.00 141 2 409304.09 -16.17 -10.99 10.02 0.26 0.19 21.97 16022.65 33148614.95 0.0000951119 5.85 328271413168959381307392.00
P0 1.00 142 4 719392.10 -16.59 -14.08 10.75 0.80 0.52 24.27 18071.77 28027480.40 0.0000346913 15.01 454031413187106607988736.00
P0 1.00 143 3 450194.80 -8.62 -18.77 14.60 0.73 0.46 25.29 48446.76 67310307.63 0.0000110385 9.73 1330389414019356893904896.00
P0 1.00 144 12 2553883.61 -5.99 -19.89 16.55 1.81 0.70 26.56 13644.71 42952741.26 0.0006374553 14.68 230733656876413314138112.00
P0 1.00 145 17 2944650.87 -11.06 -18.30 11.28 1.53 0.81 24.17 18232.80 81449755.76 0.0017800993 18.32 232107906712301228523520.00
P0 1.00 146 2 455213.45 -15.13 -21.70 14.84 0.34 0.32 30.33 27585.82 26297465.03 0.0000040140 12.22 957871590919789210501120.00
P0 1.00 147 3 579686.90 -17.91 -19.23 13.73 0.14 0.10 29.65 48666.18 50659063.27 0.0000005760 3.31 1637908551178999690166272.00
P0 1.00 148 2 302223.64 -14.22 -19.30 12.42 0.11 0.10 27.00 44406.67 33994093.33 0.0000006314 7.85 1791115625559123742949376.00
P0 1.00 149 3 541543.54 -9.84 -19.19 9.45 0.27 0.22 23.55 15641.29 44087431.86 0.0002753485 18.40 258401970422021154144256.00
P0 1.00 150 2 436556.46 -17.83 -15.91 33.83 0.39 0.38 41.41 51468.25 24222526.45 0.0000001734 5.55 2976084970063585767063552.00
P0 1.00 151 5 926842.26 -8.27 -21.36 10.32 1.58 0.83 25.13 15121.83 38256876.61 0.0002367151 28.12 274867025193509175951360.00
P0 1.00 152 2 424171.18 -27.17 -5.79 42.07 0.36 0.36 50.42 58208.55 52971204.94 0.0000002225 5.62 2166536618612017835540480.00
P0 1.00 153 3 636287.85 -29.11 -9.61 18.59 0.61 0.45 35.85 23212.54 31312773.19 0.0000143458 14.66 660736929855813835554816.00
P0 1.00 154 7 1416232.00 -43.74 -2.61 28.67 0.82 0.54 52.36 18343.05 25177880.42 0.0000190224 9.19 510839332782485513699328.00
P0 1.00 155 4 848416.88 -35.20 -17.14 26.70 0.95 0.62 47.39 58835.57 45572330.86 0.0000001851 10.60 2445503331148643713417216.00
P0 1.00 156 2 424172.44 -37.26 -19.67 27.42 0.25 0.25 50.27 76882.91 57605367.92 0.0000000652 9.94 3257712880707058016452608.00
P0 1.00 157 3 636253.93 -51.81 -5.23 33.58 0.30 0.25 61.96 53203.59 30749849.14 0.0000002324 7.79 2673374633660338881429504.00
P0 1.00 158 2 477224.70 -47.37 -9.63 18.91 0.51 0.46 51.91 34144.10 23386875.53 0.0000009643 13.15 1524230234797780213170176.00
P0 1.00 159 4 887175.98 -50.60 -9.62 25.01 0.89 0.53 57.26 26142.52 23709079.09 0.0000034709 16.04 967183665870111812616192.00
P0 1.00 160 2 448187.13 -47.64 -4.66 20.57 0.31 0.31 52.10 47374.59 29619395.72 0.0000003183 10.86 2259595325889248093011968.00
P0 1.00 161 4 848465.26 -33.41 -5.40 13.46 0.78 0.56 36.42 30393.06 47902958.30 0.0000173526 14.60 779918855707766244245504.00
P0 1.00 162 3 636367.37 -28.02 -9.05 11.16 0.75 0.50 31.49 22328.95 27001899.52 0.0000098298 12.71 680790839373659904147456.00
P0 1.00 163 13 2708666.04 -33.15 -9.41 10.32 1.02 0.65 35.97 12970.89 50641204.94 0.0008401955 22.19 175465078761857765867520.00
P0 1.00 164 2 430536.15 -22.86 -5.71 11.83 0.16 0.16 26.37 23599.95 25333527.62 0.0000062943 4.88 778742288620801595801600.00
P0 1.00 165 2 424281.48 -34.14 -3.43 11.67 0.31 0.31 36.24 20825.64 27446721.85 0.0000151628 10.52 599924833449896495284224.00
P0 1.00 166 4 851479.68 -34.48 -3.38 13.82 0.72 0.43 37.30 20627.51 34446135.49 0.0000370454 12.97 504106042039211525144576.00
P0 1.00 167 3 643626.05 -56.73 -3.88 15.32 0.34 0.24 58.89 33407.01 16860315.94 0.0000005588 6.23 1832354497176930260877312.00
P0 1.00 168 33 7015720.01 -35.99 -20.85 4.28 2.80 1.51 41.82 13486.11 53456259.96 0.0015961844 30.35 190421842203511537795072.00
P0 1.00 169 2 427672.86 -29.85 -21.82 5.35 0.29 0.29 37.36 56492.82 71390978.77 0.0000003732 5.39 1678357212275251039174656.00
P0 1.00 170 7 1504888.13 -42.99 -19.99 5.80 1.04 0.68 47.77 23699.98 44164479.07 0.0000476815 28.45 539674710102346139959296.00
P0 1.00 171 5 850183.79 -14.21 -7.56 6.67 0.57 0.41 17.42 13474.54 55234697.93 0.0010582288 12.04 168398302457049001230336.00
P0 1.00 172 8 1544883.82 -11.56 -8.59 7.84 1.20 0.54 16.40 13004.70 59424704.36 0.0024664037 26.71 152914154176692514455552.00
P0 1.00 173 2 382258.83 -13.64 -8.53 7.34 0.28 0.23 17.68 16512.79 45128682.27 0.0002096070 25.21 278783784461474430189568.00
P0 1.00 174 31 5222352.52 -11.34 -9.45 5.48 2.44 1.60 15.74 15909.88 118321765.79 0.0120245428 47.00 130116023532540152250368.00
P0 1.00 175 12 2552868.69 -27.29 -17.17 4.80 1.58 0.88 32.60 14226.24 42500745.47 0.0004021999 50.21 240805576880064131235840.00
P0 1.00 176 2 437165.99 -31.97 -3.45 5.24 0.32 0.31 32.58 21969.20 32466802.65 0.0000183703 6.73 582245216160926956257280.00
