model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3 1.00 132 11 2337916.48 7.46 -9.28 52.05 1.51 0.95 53.39 12954.46 14684427.97 0.0002718461 17.92 401323304893030747602944.00
GM3 1.00 133 27 5446072.33 3.09 -5.82 52.15 2.41 1.42 52.56 11984.34 17864703.05 0.0007802318 23.70 308696362380351078662144.00
GM3 1.00 134 59 12395631.06 -0.84 -5.40 52.64 3.45 2.11 52.92 10444.31 24227733.55 0.0026793222 17.25 186476365668601431064576.00
GM3 1.00 135 2 432281.07 0.42 -6.29 56.62 0.42 0.42 56.97 16370.55 11580845.11 0.0000806459 38.90 737180782706691045064704.00
GM3 1.00 136 2 430122.87 3.72 -9.45 55.31 0.25 0.25 56.24 17874.44 7726279.30 0.0000137625 9.25 1064983156986691377430528.00
GM3 1.00 137 2 368904.69 0.70 -7.82 54.37 0.13 0.12 54.93 13568.68 13778574.90 0.0001593397 17.37 448016875459013209227264.00
GM3 1.00 138 2 425729.58 1.29 -6.52 54.98 0.43 0.42 55.38 11633.27 13458420.03 0.0002697929 15.08 349132221299621565038592.00
GM3 1.00 139 2 442240.64 17.21 -3.59 50.56 0.40 0.39 53.53 18943.62 8896089.80 0.0000156178 6.61 1070135972624634405191680.00
GM3 1.00 140 2 453843.13 18.07 -3.28 48.86 0.27 0.26 52.19 17740.19 9477481.03 0.0000222250 8.37 916452657388961994375168.00
GM3 1.00 141 2 377843.13 28.70 -4.72 38.19 0.53 0.46 48.01 22346.52 5737915.51 0.0000032709 2.37 1898501708676386047131648.00
GM3 1.00 142 2 444569.59 10.43 -4.05 49.56 0.30 0.30 50.80 15153.81 9870449.86 0.0000432761 7.25 684938155919015692730368.00
GM3 1.00 143 3 640690.74 13.56 -3.98 34.21 0.31 0.28 37.02 17402.90 11866054.32 0.0000411911 12.02 761803124101188616716288.00
GM3 1.00 144 2 373729.68 13.23 -3.48 35.15 0.46 0.40 37.71 20804.09 12657578.48 0.0000232216 15.50 988200527645140389462016.00
GM3 1.00 145 2 368792.50 15.16 -10.04 44.10 0.25 0.22 47.70 40064.47 9786104.29 0.0000014865 14.17 3533050254996409518391296.00
GM3 1.00 146 2 435432.26 19.68 -15.19 42.16 0.43 0.42 48.94 22493.40 6582211.36 0.0000042682 8.10 1746635313154822380716032.00
GM3 1.00 147 5 1087586.52 35.13 -16.80 38.78 0.97 0.53 54.95 22237.96 6074297.19 0.0000037973 11.06 1806756893769837580386304.00
GM3 1.00 148 2 427467.73 22.60 -15.80 39.06 0.47 0.47 47.81 37043.25 12469166.07 0.0000042614 9.01 2628807383819925569142784.00
GM3 1.00 149 2 438813.57 22.94 -16.86 40.42 0.23 0.23 49.44 24442.90 7223579.50 0.0000038291 11.53 1887551821591679690866688.00
GM3 1.00 150 3 589576.35 -28.26 27.09 36.14 0.04 0.03 53.27 20397.16 4965414.21 0.0000033904 1.56 1792136264158627204431872.00
GM3 1.00 151 13 2743076.88 -24.71 4.59 44.69 1.66 0.97 51.27 11224.38 16613710.68 0.0007138592 14.95 282206375759042666561536.00
GM3 1.00 152 3 649107.82 -25.80 4.01 43.63 0.40 0.33 50.85 11761.01 14432742.79 0.0003205972 13.43 336841948957779643334656.00
GM3 1.00 153 6 1319119.47 -25.32 2.84 51.77 0.93 0.67 57.70 10127.07 23891620.54 0.0024901301 11.08 171151753619079895711744.00
GM3 1.00 154 9 1928956.41 -23.94 3.92 52.81 0.96 0.73 58.11 10596.69 20590798.72 0.0016404194 13.29 216732470135641956417536.00
GM3 1.00 155 3 639205.45 -24.19 27.49 43.30 0.10 0.08 56.71 19693.18 5919555.34 0.0000055675 1.20 1500081675209916534489088.00
GM3 1.00 156 3 645931.72 -23.68 2.88 46.01 0.65 0.45 51.83 15253.13 9277920.62 0.0000371060 14.45 725009183229243752972288.00
GM3 1.00 157 4 849166.40 -34.20 6.68 53.74 0.65 0.47 64.04 13429.70 15951729.33 0.0003811921 18.55 411373078618473209266176.00
GM3 1.00 158 2 431823.39 -37.97 6.84 48.08 0.24 0.24 61.65 15323.57 12747309.18 0.0000801199 1.35 581957710556880686809088.00
GM3 1.00 159 5 1050780.75 -28.70 11.37 47.55 0.76 0.62 56.69 17255.39 8171260.19 0.0000179963 10.19 969963822005526043033600.00
GM3 1.00 160 2 325821.13 -37.85 9.25 47.93 0.45 0.34 61.77 14005.36 14343667.07 0.0001593895 15.44 458932104812161824456704.00
GM3 1.00 161 2 447089.82 -34.87 7.12 47.09 0.39 0.37 59.03 17495.17 8713742.83 0.0000193278 5.51 947330226645065030172672.00
GM3 1.00 162 2 432007.01 -26.86 5.56 47.01 0.46 0.45 54.43 19881.93 8686421.68 0.0000126628 6.52 1180612802523906512519168.00
GM3 1.00 163 2 435596.54 -30.31 4.79 44.70 0.33 0.33 54.22 20539.81 7364577.52 0.0000076538 11.64 1388882850975397053464576.00
GM3 1.00 164 4 873203.28 -31.03 5.42 46.59 0.62 0.51 56.24 16236.29 8125362.50 0.0000210076 10.94 874744787953747834699776.00
GM3 1.00 165 4 757284.11 -34.68 3.32 51.75 0.67 0.42 62.38 14903.48 11544162.66 0.0000794631 24.09 606414938553579915444224.00
GM3 1.00 166 3 677170.37 -27.65 3.14 51.95 0.66 0.51 58.94 10989.40 22357738.51 0.0015974059 11.66 209481756869608207286272.00
GM3 1.00 167 2 431062.27 -28.30 3.65 53.60 0.46 0.46 60.72 10688.96 22469970.97 0.0017979423 3.11 198694258207509652176896.00
GM3 1.00 168 2 440256.79 -30.07 3.82 54.31 0.32 0.31 62.20 13565.56 11956872.75 0.0001197545 5.29 503070521862707302367232.00
GM3 1.00 169 2 435149.76 -31.80 5.48 47.77 0.33 0.33 57.65 17291.46 8101270.82 0.0000170208 9.42 974185784671256212144128.00
GM3 1.00 170 3 635554.52 -35.39 6.29 49.10 0.54 0.42 60.85 13403.72 13022735.04 0.0001552486 20.07 460562708104063802671104.00
GM3 1.00 171 59 12431397.33 -3.64 7.81 34.31 2.95 1.37 35.38 9470.86 52605444.05 0.0180513786 22.38 100069640569341020733440.00
GM3 1.00 172 7 1447888.58 -30.69 -1.26 49.61 1.55 0.88 58.35 20802.85 8909528.38 0.0000108351 18.40 1251766887281769435889664.00
GM3 1.00 173 3 647879.43 -25.98 3.64 53.72 0.79 0.57 59.78 10698.12 25908457.23 0.0025026556 9.57 175912044679056379084800.00
GM3 1.00 174 2 376093.87 9.60 -3.29 52.48 0.49 0.43 53.46 32199.21 21309219.03 0.0000161537 12.18 1449391004697838695219200.00
GM3 1.00 175 4 855103.86 -6.31 6.98 11.85 0.14 0.12 15.13 13340.28 21528549.99 0.0007488899 4.26 308233972697545836593152.00
GM3 1.00 176 15 2955978.10 -10.56 7.80 11.86 0.64 0.31 17.70 11113.37 29706356.40 0.0032692751 10.97 169282208008770775154688.00
