model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2noBHs 1.00 83 2 246607.67 -4.73 12.30 -7.95 0.53 0.42 15.39 23864.20 14605640.09 0.0000019203 8.87 1132485105853141274853376.00
GM2noBHs 1.00 84 2 433344.23 -9.57 12.19 -4.03 0.31 0.30 16.01 34545.92 8068626.44 0.0000001247 11.23 3114464902635047440351232.00
GM2noBHs 1.00 85 2 308539.51 -4.24 15.05 -2.58 0.48 0.34 15.85 22141.18 9005477.78 0.0000006948 4.66 1372377639892290474344448.00
GM2noBHs 1.00 86 3 662670.87 -4.77 9.64 -10.85 0.62 0.58 15.28 22296.56 24768350.32 0.0000100713 15.46 709913847658349875691520.00
GM2noBHs 1.00 87 3 583722.19 -4.92 8.78 -12.07 0.64 0.54 15.72 19712.98 22618589.26 0.0000110431 18.26 613605273514791489503232.00
GM2noBHs 1.00 88 2 424168.26 -13.32 6.06 -4.79 0.11 0.11 15.40 50431.09 24316263.84 0.0000001722 5.98 2809665144864819917094912.00
GM2noBHs 1.00 89 5 833689.69 -1.24 12.63 -9.94 0.85 0.58 16.12 15869.14 20196969.99 0.0000200720 19.09 459524140906337586380800.00
GM2noBHs 1.00 90 2 424172.61 -6.15 4.37 -15.13 0.16 0.16 16.91 15952.75 28029027.44 0.0000580426 4.87 373183330659193199788032.00
GM2noBHs 1.00 91 2 424305.17 -10.04 4.19 -12.35 0.48 0.48 16.46 23051.39 21424704.08 0.0000055551 10.62 833641955624290533507072.00
GM2noBHs 1.00 92 2 264405.58 7.21 12.93 -3.17 0.47 0.36 15.14 20221.90 8726674.47 0.0000008690 6.97 1214629224437860085530624.00
GM2noBHs 1.00 93 2 432937.15 2.41 13.27 -6.65 0.41 0.40 15.04 18916.82 14301989.43 0.0000035057 8.46 772411836385118035902464.00
GM2noBHs 1.00 94 2 424191.74 -5.24 4.24 -13.78 0.37 0.37 15.34 14512.65 36671347.34 0.0002048828 7.40 267812532027813628215296.00
GM2noBHs 1.00 95 2 424168.26 13.41 -9.24 4.91 0.43 0.43 17.01 16070.88 26381798.55 0.0000631993 3.01 405641364942760844460032.00
GM2noBHs 1.00 96 2 361761.14 -4.08 -10.82 10.71 0.54 0.46 15.76 49649.48 14454517.51 0.0000000921 7.17 3864452973071039530532864.00
GM2noBHs 1.00 97 4 849146.55 -6.95 5.52 -13.90 0.87 0.65 16.49 19076.15 26060401.66 0.0000257602 11.89 539337219912186841792512.00
GM2noBHs 1.00 98 2 424168.26 -5.70 -14.38 5.11 0.25 0.25 16.29 57351.16 23407739.69 0.0000000899 13.46 3581022066824482291449856.00
GM2noBHs 1.00 99 4 677680.62 7.07 10.07 -10.32 1.27 0.84 16.06 19693.54 16734883.03 0.0000049699 21.06 757699731654675691208704.00
GM2noBHs 1.00 100 3 466360.30 7.05 11.90 -6.77 0.84 0.57 15.40 24089.46 15104856.29 0.0000017455 9.82 1119106644217524924710912.00
